net,length_um
clk,1668.65
_0539_,359.095
_0189_,334.16
_0515_,328.4
_0203_,278.94
net136,276.065
net116,269.61
net72,268.4
_0590_,264.95
_0579_,263.89
net79,254.44
_0252_,247.17
_0448_,236.13
_0453_,235.19
net93,229.76
net141,223.14
_0572_,214.42
net157,212.44
net148,209.68
_0397_,207.47
net122,203.87
net91,203.2
_0522_,201.64
net112,199.16
net34,199.12
net83,196.22
net22,195.56
net159,193.56
net166,189.32
net105,183.29
net117,183.2
net115,175.94
net107,175.025
net119,173.44
net164,171.52
net149,170.54
net21,169.96
net76,169.06
cpu.bufreg.data\[0\],165.87
_0266_,165.17
_0614_,160.84
_0324_,160.64
net155,160.14
net43,159.38
net129,156.31
net4,155.77
net46,153.98
net89,153.74
net86,153.48
_0610_,153.36
_0420_,153.18
net146,151.24
net108,150.82
net123,149.64
_0276_,148.58
net6,147.82
net126,146.92
net127,144.91
net5,144.81
_0419_,144.055
net98,141.84
_0211_,141.8
net69,141.55
net97,140.61
net124,140.42
_0342_,140.34
net144,138.34
net42,138.24
rf_ram_if.rtrig0,137.48
_0401_,137.43
cpu.bufreg.data\[1\],137.28
_0290_,136.39
net131,134.7
net147,134.47
net170,133.83
net12,133.48
net82,132.92
net37,131.9
net178,129.7
net130,128.16
net106,127.98
net96,127.62
net35,126.42
net88,126.26
net140,126.18
net26,125.73
_0388_,125.7
cpu.alu.i_rs1,125.18
net84,124.76
net67,123.14
_0461_,122.74
net51,122.58
_0314_,121.305
_0289_,120.915
net173,119.81
net125,119.72
net30,118.28
net62,118.18
cpu.decode.opcode\[1\],118.155
_0288_,118.05
net150,116.54
cpu.branch_op,116.52
net152,116.18
net48,115.34
_0332_,115.29
_0311_,115.1
net16,114.42
net183,114.26
_0300_,113.865
net19,113.68
_0365_,112
net45,111.52
net1,110.3
net145,109.98
net110,108.9
net113,108.74
net133,107.12
net38,104.57
net2,104.14
net111,100.41
_0415_,100.2
net81,99.98
net139,99.62
_0567_,99.59
net134,99.26
net118,99.04
_0414_,98.3
_0275_,97.32
net177,96.92
_0307_,95.995
_0284_,95.9
_0298_,92.26
cpu.gen_csr.csr.o_new_irq,91.805
net68,90.56
net137,90.54
net39,90.44
net66,90.32
net53,89.94
net70,89.42
net54,89.36
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[0\],88.905
cpu.decode.opcode\[2\],88.15
_0636_,87.54
cpu.decode.op26,87.32
