net,length_um
_0539_,359.16
clknet_0_clk,308.57
_0515_,307.67
_0203_,288.87
_0189_,285.43
net72,272.05
_0579_,256.38
_0590_,253.63
_0252_,248.465
_0572_,247.97
net79,245.08
net136,241.63
net116,236.48
net93,234.32
_0448_,221.24
net112,221.14
_0453_,218.17
net141,211.04
net148,209.22
net105,206.74
net91,206.14
net83,199.21
net122,198.1
net159,192.8
_0420_,190.28
_0397_,189.08
net34,188.5
net166,185.37
net107,183.365
net157,183.14
net89,179.84
net67,173.42
net119,170.88
net75,167.38
net149,167.38
clk,165
net146,164.46
_0522_,163.71
net164,161.2
net22,159.63
net98,159.32
_0342_,157.62
clknet_4_0_0_clk,157.44
_0461_,157.02
_0417_,155.8
net19,154.64
rf_ram_if.rtrig0,154.63
_0211_,153.86
net43,153.18
clknet_4_7_0_clk,152.7
clknet_4_2_0_clk,150.66
net82,150.2
net46,149.65
cpu.bufreg.data\[0\],148.375
net69,147.65
net6,142.89
net155,142.82
net108,142.62
_0614_,141.9
net115,141.69
net88,140.88
net86,140.78
_0314_,140.12
net5,137.9
_0324_,137.82
net117,135.86
net21,135.26
_0419_,134.44
clknet_4_15_0_clk,133.54
net42,133.29
net144,132.54
net178,131.86
_0415_,131.49
net4,130.58
net127,130.56
net30,130.54
net129,129.98
_0290_,129.54
net12,129.42
net126,129.42
net145,129.36
_0276_,128.87
_0610_,128.87
cpu.alu.i_rs1,128.57
net137,127.54
net37,126.66
net96,126.1
clknet_4_4_0_clk,126.06
net140,125.82
_0401_,125.79
net173,125.02
net35,124.57
net147,123.98
net170,123.72
clknet_4_5_0_clk,123.54
net131,123.32
net113,121.8
net24,121.05
net123,120.9
net97,120.54
net150,120.02
clknet_4_13_0_clk,117.78
cpu.bufreg.data\[1\],117.62
_0288_,117.275
net124,117.15
_0289_,115.16
_0300_,114.41
_0388_,112.8
cpu.decode.opcode\[1\],112.465
clknet_4_8_0_clk,112.38
net152,111.9
net130,111.16
_0266_,110.7
net48,109.02
net45,108.46
net110,108.02
net1,107.26
net133,107.18
net139,106.86
net62,106.46
_0414_,105.25
net26,104.77
_0365_,102.31
_0311_,102.27
clknet_4_11_0_clk,102
net39,101.94
net121,101.3
net101,100.44
_0332_,100.1
net134,99.72
_0298_,99.48
cpu.branch_op,99.25
_0275_,99.24
net38,98.98
net160,98.64
_0284_,97.72
net51,96.8
cpu.decode.op26,96.36
clknet_4_10_0_clk,95.88
_0179_,95.32
net2,92.44
net81,92.03
_0370_,91.855
net54,91.78
clknet_4_6_0_clk,91.38
net132,90.86
net70,90.58
net168,90.46
net177,89.86
net106,89.34
cpu.bufreg.i_sh_signed,89.3
net103,88.84
_0285_,87.22
_0310_,86.24
net20,85.96
_0574_,85.72
_0307_,85.355
net16,85.16
cpu.gen_csr.csr.o_new_irq,85.075
_0512_,84.96
net53,84.86
cpu.decode.opcode\[2\],84.83
clknet_4_12_0_clk,84.5
clknet_4_14_0_clk,84.45
net189,84.26
net138,84.22
clknet_4_1_0_clk,83.8
net158,83.72
net68,83.3
net84,83.16
_0567_,82.68
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[0\],82.26
net66,81.88
_0258_,81.62
net111,81.22
_0636_,79.82
net120,79.78
net193,79.38
_0550_,79.33
cpu.csr_imm,79.1
_0272_,79.04
net184,78.74
net28,76.3
net23,75.7
_0523_,75.48
net118,74.72
net47,74.54
_0494_,74.26
_0520_,74.26
net161,74.24
net65,74.16
cpu.decode.co_ebreak,74.02
net165,73.96
_0312_,73.155
_0280_,72.24
net135,71.84
clknet_4_3_0_clk,70.48
net128,69.54
_0524_,68.96
_0525_,68.86
net114,68.12
net40,67.5
clknet_4_9_0_clk,66.28
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[5\],65.72
_0526_,64.84
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[1\],64.6
_0530_,64.12
_0565_,64
net8,63.98
net56,63.78
_0286_,63.72
_0394_,63.58
_0466_,63.51
_0337_,63.495
cpu.bne_or_bge,62.48
_0527_,62.24
net44,61.94
_0350_,61.76
net109,61.66
net153,60.82
net100,60.6
_0452_,58.865
cpu.immdec.gen_immdec_w_eq_1.imm31,57.83
net90,57.22
_0263_,57.175
net104,57.16
net172,57.1
net143,57.08
_0338_,57.02
_0268_,56.36
net154,56
_0316_,55.84
net32,55.7
_0514_,55.12
_0261_,54.32
net167,53.86
net163,53.74
_0473_,53.62
cpu.o_wdata0,53.605
_0650_,53.36
net74,53.32
_0318_,53.16
net185,53.06
net58,52.98
net102,52.76
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[0\],52.58
cpu.state.init_done,52.08
cpu.decode.opcode\[0\],51.98
net27,51.16
net179,51.02
cpu.gen_csr.csr.mstatus_mie,50.7
net18,50.66
_0269_,50.16
net61,49.7
_0322_,49.68
net14,49.64
_0445_,49.62
net59,48.24
net85,48.18
net183,47.78
_0356_,47.38
cpu.o_wdata1,47.165
_0372_,46.99
_0413_,46
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[4\],45.72
_0437_,45.54
cpu.state.cnt_r\[0\],45.38
net171,45.26
_0367_,44.88
_0386_,44.72
net142,44.7
_0596_,44.34
_0271_,43.66
net3,43.24
_0329_,42.9
net17,42.48
net80,42.06
net76,41.82
net181,41.64
_0294_,41.35
_0455_,41.28
cpu.state.gen_csr.misalign_trap_sync_r,41.16
net176,40.82
cpu.decode.op22,40.57
net87,40.54
_0267_,40.38
_0627_,40.2
net64,39.48
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[3\],39.47
net31,39.18
_0519_,38.94
i_dbus_rdt[4],38.87
net50,38.66
_0265_,38.04
_0331_,37.44
_0317_,37.24
cpu.state.cnt_r\[1\],37
net78,36.98
cpu.decode.co_mem_word,36.8
cpu.gen_csr.csr.mcause3_0\[0\],36.78
net36,36.78
net29,36.54
_0305_,36.4
_0444_,36.16
_0309_,36.12
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[4\],35.93
net77,35.92
net191,35.895
_0175_,35.5
o_dbus_adr[18],34.77
_0651_,34.455
_0382_,34.14
_0328_,34.02
_0648_,33.1
_0395_,32.68
net13,32.6
net182,32.4
_0373_,32.08
_0402_,32.04
net55,31.86
cpu.state.cnt_r\[2\],31.58
o_ibus_adr[19],31.45
net63,31.38
_0264_,30.88
net25,30.74
_0503_,30.72
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[1\],30.46
i_ibus_rdt[8],30.37
_0251_,30.32
_0260_,29.98
net174,29.4
_0447_,29.04
_0457_,28.54
_0432_,28.48
net49,27.9
_0259_,27.74
cpu.alu.add_cy_r,27.56
cpu.bufreg.i_right_shift_op,27.12
net57,27.12
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[1\],26.4
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[2\],26.385
_0411_,25.62
o_waddr[7],25.49
_0459_,25.4
_0359_,24.72
net194,24.58
_0481_,24.38
_0416_,24.3
o_dbus_dat[11],24.02
net94,23.8
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[2\],23.74
_0340_,23.72
cpu.bufreg2.i_bytecnt\[0\],23.6
_0509_,23.54
net151,23.5
o_ibus_adr[6],23.4
_0254_,23.38
net92,23.2
net162,23.2
o_dbus_dat[29],23.16
_0345_,23.04
_0652_,22.58
net52,22.54
net11,22.48
_0313_,22.24
_0364_,22.18
_0600_,22.16
_0190_,21.96
net125,21.96
_0400_,21.74
net73,21.54
i_dbus_rdt[12],21.41
_0262_,21.4
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[7\],21.34
_0436_,21.29
_0279_,21.24
o_ibus_adr[11],21.17
net33,21.12
_0257_,20.925
_0326_,20.8
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[0\],20.44
rf_ram_if.wen1_r,20.38
_0389_,20.32
net156,20.2
o_ibus_adr[2],20.08
_0325_,20.06
i_dbus_rdt[24],20.03
_0606_,19.79
_0299_,19.735
o_ibus_adr[10],19.69
_0348_,19.64
net41,19.64
o_ibus_adr[30],19.57
i_dbus_rdt[22],19.44
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[8\],19.28
i_ibus_rdt[5],19.27
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[3\],19.165
i_rst,19.03
o_dbus_adr[13],18.66
_0635_,18.62
_0281_,18.48
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[6\],18.34
cpu.decode.op21,18.28
o_ibus_adr[31],18.24
o_ibus_adr[4],17.97
_0435_,17.9
o_ibus_adr[25],17.58
i_ibus_rdt[29],17.46
rf_ram_if.rtrig1,17.12
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[0\],17.02
net169,16.86
o_dbus_adr[20],16.84
_0361_,16.66
_0589_,16.66
_0301_,16.63
rf_ram_if.wdata0_r\[1\],16.5
cpu.state.cnt_r\[3\],16.26
